username,followers,createTime,videoDesc,videoID,videoLink,nViews,nShare,nLikes,nComment,hashtag
_zainrf09,7717.0,2021-05-20,Yukk Download Uki Sekarang Siapa Tau Kita Bertemu Disana #Uki #Ukiapp #fyp #fypdonkk,6964387430824758530,https://www.tiktok.com/@_zainrf09/video/6964387430824758530?lang=en,104800.0,9.0,622.0,13.0,"['uki', 'ukiapp', 'fyp', 'fypdonkk']"
araraaa_13,45900.0,2021-05-20,Tunggu apalagi cuss download uki app! #uki #ukiapp #fyp,6964417129252801794,https://www.tiktok.com/@araraaa_13/video/6964417129252801794?lang=en,1101.0,1.0,90.0,0.0,"['uki', 'ukiapp', 'fyp']"
cherryn1707,1080.0,2021-05-20,Coba ah ku download UKI app dan ternyatee! #uki #ukiapp #temenbaru #putuscinta #sedih  #fyp,6964383525973822722,https://www.tiktok.com/@cherryn1707/video/6964383525973822722?lang=en,1364.0,3.0,66.0,1.0,"['uki', 'ukiapp', 'temenbaru', 'putuscinta', 'sedih', 'fyp']"
callualittle,175.0,2021-05-21,gaperlu pake app lain biar bs dapet jodoh🤪 #Uki #Ukiapp #pacarbarumu #fyp #fypindonesiaシ #fypシ゚viral🖤video,6964436298786475265,https://www.tiktok.com/@callualittle/video/6964436298786475265?lang=en,465.0,1.0,150.0,5.0,"['uki', 'ukiapp', 'pacarbarumu', 'fyp', 'fypindonesiaシ', 'fypシ゚viral🖤video']"
gitta.athalia,9294.0,2021-05-20,Putus cinta?? Ga usah galau ga usah risau. Download aplikasi UKI sekarang. #uki #ukiapp #fypシ #fyp #foryou #foryoupage #funny,6964363879702859010,https://www.tiktok.com/@gitta.athalia/video/6964363879702859010?lang=en,101500.0,0.0,75.0,1.0,"['uki', 'ukiapp', 'fypシ', 'fyp', 'foryou', 'foryoupage', 'funny']"
hama_youminzhe,5100.0,2021-05-21,"Buat yang lagi patah hati, tak perlu sedih bry, Download UKI App sekarang jugaaa, dapatkan pasanganmu segera!!#uki  #ukiapp #fypシ #fyp #viral",6964544218748423425,https://www.tiktok.com/@hama_youminzhe/video/6964544218748423425?lang=en,1144.0,0.0,11.0,10.0,"['uki', 'ukiapp', 'fypシ', 'fyp', 'viral']"
lextraordinaryyy,10.0,2021-05-20,"sudahi galaumu, download uki sekarang!! #uki #ukiapp #nct #nctdream #foru #kpop #patahhati #putuscinta #fyp",6964384666472156417,https://www.tiktok.com/@lextraordinaryyy/video/6964384666472156417?lang=en,213.0,7.0,4.0,0.0,"['uki', 'ukiapp', 'nct', 'nctdream', 'foru', 'kpop', 'patahhati', 'putuscinta', 'fyp']"
piapiaw03,120.0,2021-05-21,sampai jumpa di UKI ya sayang #uki #ukiapps #job #pengenfyp #dontscroll #chalange #fyp,6964551231876451585,https://www.tiktok.com/@piapiaw03/video/6964551231876451585?lang=en,75.0,43.0,13.0,0.0,"['uki', 'ukiapps', 'job', 'pengenfyp', 'dontscroll', 'chalange', 'fyp']"
miasrti,20600.0,2021-05-21,"Tanpa perlu pikir panjang, langsung gas download! #uki #ukiapp #fyp #foryoupage",6964562238241819905,https://www.tiktok.com/@miasrti/video/6964562238241819905?lang=en,105400.0,0.0,378.0,2.0,"['uki', 'ukiapp', 'fyp', 'foryoupage']"
lextraordinaryyy,10.0,2021-05-20,"sudahi galaumu, download uki sekarang!! #uki #ukiapp #nct #nctdream #foru #kpop #patahhati #putuscinta #fyp",6964384666472156417,https://www.tiktok.com/@lextraordinaryyy/video/6964384666472156417?lang=en,213.0,7.0,4.0,0.0,"['uki', 'ukiapp', 'nct', 'nctdream', 'foru', 'kpop', 'patahhati', 'putuscinta', 'fyp']"
hanyalewatsebentar,4.0,2021-05-21,"Download uki , kita ketemu di uki ya 😘#ukiapp #uki #trending #soundeeffect #foryou",6964563693061328129,https://www.tiktok.com/@hanyalewatsebentar/video/6964563693061328129?lang=en,154.0,0.0,4.0,0.0,"['ukiapp', 'uki', 'trending', 'soundeeffect', 'foryou']"
,,,,,,,,,,
ntthaliax,825.0,2021-05-21,Yang lagi sendiri buruan download uki app deh!!🙈 #uki #ukiapp #fyp #foryoupage,6964568552871349505,https://www.tiktok.com/@ntthaliax/video/6964568552871349505?lang=en,2091.0,0.0,3.0,0.0,"['uki', 'ukiapp', 'fyp', 'foryoupage']"
lsyahida,523.0,2021-05-21,"Ga usah risau  kalau diputusin pacar, download aja UKI app! #uki #ukiapp #fyp #foryoupage",6964568945240198402,https://www.tiktok.com/@lsyahida/video/6964568945240198402?lang=en,16.0,0.0,3.0,0.0,"['uki', 'ukiapp', 'fyp', 'foryoupage']"
,,,,,,,,,,
daniapuspatiara,3641.0,2021-05-21,yuk download uki biar cocok #uki #ukiapp #fyp #beranda #chat #cocok #datingapp #virtualchat #temanvirtual,6964577482922151170,https://www.tiktok.com/@daniapuspatiara/video/6964577482922151170?lang=en,1238.0,0.0,26.0,0.0,"['uki', 'ukiapp', 'fyp', 'beranda', 'chat', 'cocok', 'datingapp', 'virtualchat', 'temanvirtual']"
